term,value,datatype
GROUP,0xEE,uint8_t
POS_CTRL,0xAA,uint8_t
SPD_CTRL,0xBB,uint8_t
PROBE,0,uint8_t
AUGER,1,uint8_t
PRIMARY_DOOR,2,uint8_t
SECONDARY_DOOR,3,uint8_t
SECONDARY,4,uint8_t
DRILL,5,uint8_t
FULL_STEAM_FORWARD,0x7F,uint8_t
FULL_STEAM_BACKWARD,0x81,uint8_t
PROBE_RETRACT_TIME_MS,1000,uint32_t
AUGER_RETRACT_TIME_MS,1000,uint32_t
PRIMARY_DOOR_RETRACT_TIME_MS,1000,uint32_t
SECONDARY_DOOR_RETRACT_TIME_MS,1000,uint32_t
SECONDARY_RETRACT_TIME_MS,1000,uint32_t
P_ZERO,0,uint8_t
